Município;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Idade ignorada;Total
110001 Alta Floresta D'Oeste;-;-;1;1;-;1;-;1;-;-;-;-;-;4
110037 Alto Alegre dos Parecis;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110040 Alto Paraíso;-;-;-;-;2;1;1;-;1;-;-;-;-;5
110034 Alvorada D'Oeste;-;-;1;-;-;-;2;1;-;-;-;-;-;4
110002 Ariquemes;-;1;-;1;2;5;7;2;-;1;3;1;-;23
110045 Buritis;-;-;-;1;2;4;-;-;-;-;-;-;-;7
110003 Cabixi;-;-;-;1;-;-;-;-;-;-;-;-;-;1
110060 Cacaulândia;-;-;-;-;-;-;-;1;-;-;-;-;-;1
110004 Cacoal;-;-;-;-;1;1;2;-;1;-;1;1;-;7
110070 Campo Novo de Rondônia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110080 Candeias do Jamari;-;-;-;-;1;-;2;-;-;1;-;1;-;5
110090 Castanheiras;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110005 Cerejeiras;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110092 Chupinguaia;-;-;-;-;1;1;-;-;-;-;1;-;-;3
110006 Colorado do Oeste;-;-;-;-;-;1;1;-;-;-;-;-;-;2
110007 Corumbiara;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110008 Costa Marques;-;-;-;2;-;-;1;-;-;-;1;-;-;4
110094 Cujubim;-;-;-;-;1;1;-;-;-;-;-;-;-;2
110009 Espigão D'Oeste;-;-;-;-;-;1;1;-;-;-;-;-;-;2
110100 Governador Jorge Teixeira;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110010 Guajará-Mirim;-;-;-;1;3;-;1;-;-;-;1;-;-;6
110110 Itapuã do Oeste;-;-;-;-;1;1;-;-;-;-;-;-;-;2
110011 Jaru;-;-;-;-;3;1;-;-;-;-;-;-;-;4
110012 Ji-Paraná;-;-;-;-;3;3;2;3;-;2;2;1;-;16
110013 Machadinho D'Oeste;-;-;-;1;-;1;2;3;-;-;-;-;-;7
110120 Ministro Andreazza;-;-;1;-;-;1;-;1;-;-;-;1;-;4
110130 Mirante da Serra;-;-;-;-;-;-;1;-;-;-;-;-;-;1
110140 Monte Negro;-;-;-;-;-;1;-;-;1;-;-;-;-;2
110014 Nova Brasilândia D'Oeste;-;-;-;-;-;1;-;-;-;-;-;-;-;1
110033 Nova Mamoré;-;-;1;-;-;-;-;-;-;1;1;-;-;3
110143 Nova União;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110050 Novo Horizonte do Oeste;-;-;1;-;-;-;-;-;-;-;-;-;-;1
110015 Ouro Preto do Oeste;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110145 Parecis;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110018 Pimenta Bueno;-;-;-;-;-;1;1;2;-;2;-;-;-;6
110146 Pimenteiras do Oeste;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110020 Porto Velho;1;1;1;1;1;11;12;13;10;4;5;12;-;72
110025 Presidente Médici;-;-;-;1;2;-;-;-;-;-;-;-;-;3
110147 Primavera de Rondônia;-;-;-;-;1;-;-;-;-;-;-;-;-;1
110026 Rio Crespo;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110028 Rolim de Moura;-;-;-;2;1;1;1;-;-;1;2;-;-;8
110029 Santa Luzia D'Oeste;-;-;-;-;-;-;-;-;1;-;1;-;-;2
110148 São Felipe D'Oeste;-;-;-;-;-;-;-;-;-;-;1;-;-;1
110149 São Francisco do Guaporé;-;1;1;-;-;-;-;-;-;-;1;-;-;3
110032 São Miguel do Guaporé;-;-;1;-;1;-;1;1;-;-;3;-;-;7
110150 Seringueiras;-;-;-;-;-;1;-;1;-;-;-;-;-;2
110155 Teixeirópolis;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110160 Theobroma;-;-;-;-;-;-;-;-;1;-;-;-;-;1
110170 Urupá;-;-;-;-;-;-;-;-;-;-;1;-;-;1
110175 Vale do Anari;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110180 Vale do Paraíso;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110030 Vilhena;-;1;1;-;1;2;5;1;1;3;1;-;-;16
110000 Município ignorado - RO;-;-;-;-;-;-;1;-;-;-;-;-;-;1
120001 Acrelândia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120005 Assis Brasil;-;1;-;-;-;-;-;-;-;-;-;-;-;1
120010 Brasiléia;1;-;-;-;-;-;-;-;-;-;-;-;-;1
120013 Bujari;1;-;-;-;-;-;1;-;-;-;-;-;-;2
120017 Capixaba;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120020 Cruzeiro do Sul;-;-;-;-;-;1;-;1;-;-;2;-;-;4
120025 Epitaciolândia;-;1;-;-;-;-;-;-;-;-;-;-;-;1
120030 Feijó;-;-;1;-;-;1;-;1;-;1;-;-;-;4
120032 Jordão;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120033 Mâncio Lima;-;-;-;-;-;-;-;1;-;-;-;-;-;1
120034 Manoel Urbano;-;1;-;1;-;-;-;-;-;-;-;-;-;2
120035 Marechal Thaumaturgo;-;-;-;-;-;1;-;-;-;-;-;-;-;1
120038 Plácido de Castro;-;-;-;-;-;-;1;-;-;-;-;-;-;1
120080 Porto Acre;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120039 Porto Walter;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120040 Rio Branco;-;2;-;1;3;7;5;5;1;1;4;7;-;36
120042 Rodrigues Alves;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120043 Santa Rosa do Purus;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120050 Sena Madureira;-;-;-;-;-;1;1;-;-;-;-;-;-;2
120045 Senador Guiomard;-;-;-;-;2;-;-;-;-;-;-;1;-;3
120060 Tarauacá;-;1;-;1;2;-;-;-;1;-;1;-;-;6
120070 Xapuri;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120000 Município ignorado - AC;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130002 Alvarães;-;-;1;-;-;-;-;-;-;-;-;-;-;1
130006 Amaturá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130008 Anamã;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130010 Anori;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130014 Apuí;-;-;-;-;-;2;-;1;-;-;-;-;-;3
130020 Atalaia do Norte;-;-;-;-;-;3;-;1;-;-;-;-;-;4
130030 Autazes;-;1;1;1;-;-;-;3;-;-;-;-;-;6
130040 Barcelos;10;-;1;-;-;-;-;1;-;-;-;-;-;12
130050 Barreirinha;-;-;-;-;1;1;-;-;-;-;-;-;-;2
130060 Benjamin Constant;5;1;-;-;1;2;-;-;1;-;-;-;-;10
130063 Beruri;-;-;1;-;-;1;-;-;-;-;-;-;-;2
130068 Boa Vista do Ramos;-;1;1;-;-;1;-;-;-;-;-;-;-;3
130070 Boca do Acre;-;1;-;-;-;1;-;-;1;1;-;1;3;8
130080 Borba;-;-;-;-;1;-;-;-;-;-;-;-;-;1
130083 Caapiranga;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130090 Canutama;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130100 Carauari;-;-;-;-;1;-;-;-;-;-;-;-;-;1
130110 Careiro;1;-;1;-;-;-;-;-;-;-;2;-;-;4
130115 Careiro da Várzea;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130120 Coari;-;1;-;-;1;1;3;-;-;-;-;1;-;7
130130 Codajás;-;-;-;-;1;-;-;-;-;1;-;-;-;2
130140 Eirunepé;-;1;-;4;-;2;-;-;1;-;-;-;-;8
130150 Envira;-;-;-;-;-;-;2;1;-;-;-;-;-;3
130160 Fonte Boa;-;-;-;-;-;1;-;-;-;-;-;-;-;1
130165 Guajará;-;-;-;-;-;-;-;-;-;-;-;1;-;1
130170 Humaitá;1;1;-;-;-;2;-;-;-;-;-;-;-;4
130180 Ipixuna;-;1;-;-;-;-;1;-;-;-;-;-;-;2
130185 Iranduba;-;-;1;-;1;1;1;-;-;-;-;-;-;4
130190 Itacoatiara;-;-;-;-;2;-;2;-;-;1;1;-;-;6
130195 Itamarati;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130200 Itapiranga;-;-;-;-;-;-;1;-;-;1;-;-;-;2
130210 Japurá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130220 Juruá;-;-;-;1;-;-;-;-;-;-;-;-;-;1
130230 Jutaí;-;-;-;-;-;-;-;-;-;-;-;1;-;1
130240 Lábrea;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130250 Manacapuru;-;-;2;1;2;-;2;1;-;1;1;-;-;10
130255 Manaquiri;-;-;-;-;-;-;-;1;-;-;-;-;-;1
130260 Manaus;7;8;4;7;35;57;40;28;14;10;13;11;3;237
130270 Manicoré;-;1;-;-;-;-;-;-;-;1;-;1;-;3
130280 Maraã;-;-;-;-;-;-;1;-;-;-;-;-;-;1
130290 Maués;-;-;-;-;-;2;-;-;-;-;-;-;-;2
130300 Nhamundá;-;1;-;-;-;-;-;-;-;-;-;-;-;1
130310 Nova Olinda do Norte;-;-;1;-;1;1;-;-;-;-;-;-;-;3
130320 Novo Airão;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130330 Novo Aripuanã;-;-;-;-;-;-;-;1;1;-;-;-;-;2
130340 Parintins;-;-;-;-;-;1;1;-;1;-;1;-;-;4
130350 Pauini;-;1;-;-;-;-;-;-;-;-;-;-;-;1
130353 Presidente Figueiredo;-;-;-;-;-;-;2;1;-;-;-;-;-;3
130356 Rio Preto da Eva;-;1;-;1;1;-;-;-;1;-;-;-;-;4
130360 Santa Isabel do Rio Negro;-;1;-;-;1;-;-;-;-;-;-;-;-;2
130370 Santo Antônio do Içá;-;-;-;-;-;1;-;-;-;-;-;-;-;1
130380 São Gabriel da Cachoeira;-;-;-;1;3;4;1;-;-;-;-;-;-;9
130390 São Paulo de Olivença;-;1;-;-;-;2;-;-;-;-;-;-;-;3
130395 São Sebastião do Uatumã;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130400 Silves;1;-;-;-;-;-;-;-;-;-;-;-;-;1
130406 Tabatinga;-;2;1;-;2;2;2;2;-;1;1;-;-;13
130410 Tapauá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130420 Tefé;-;-;1;1;1;1;-;-;-;-;-;-;-;4
130423 Tonantins;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130426 Uarini;-;2;-;-;-;-;-;-;-;-;-;-;-;2
130430 Urucará;-;-;1;-;-;-;-;1;-;-;-;-;-;2
130440 Urucurituba;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130000 Município ignorado - AM;-;-;-;-;-;-;-;-;-;-;-;-;-;-
140005 Alto Alegre;4;-;1;1;-;1;1;-;-;-;-;-;-;8
140002 Amajari;-;1;-;-;1;-;1;-;-;-;-;-;-;3
140010 Boa Vista;2;1;1;3;2;15;9;3;1;6;3;8;-;54
140015 Bonfim;-;-;-;1;-;-;1;-;-;-;-;-;-;2
140017 Cantá;-;-;-;-;1;-;-;-;-;1;-;-;-;2
140020 Caracaraí;5;-;1;-;2;2;-;-;-;-;1;-;-;11
140023 Caroebe;-;-;-;-;-;-;-;-;-;-;-;-;-;-
140028 Iracema;-;-;-;-;-;-;-;-;1;1;-;-;-;2
140030 Mucajaí;1;-;-;-;1;-;-;-;-;-;-;-;-;2
140040 Normandia;-;1;-;-;-;-;-;-;-;-;-;-;-;1
140045 Pacaraima;-;-;1;-;-;-;-;-;-;-;-;-;-;1
140047 Rorainópolis;-;-;-;-;-;-;1;1;1;-;-;-;-;3
140050 São João da Baliza;1;-;-;-;-;-;-;-;-;-;-;-;-;1
140060 São Luiz;-;-;-;-;-;-;-;-;-;-;-;-;-;-
140070 Uiramutã;-;-;1;-;-;-;-;-;-;-;-;-;-;1
140000 Município ignorado - RR;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150010 Abaetetuba;1;1;1;-;1;1;4;4;1;-;-;4;-;18
150013 Abel Figueiredo;-;-;-;-;-;-;1;-;1;-;-;-;-;2
150020 Acará;-;-;-;-;-;2;-;-;1;-;1;-;-;4
150030 Afuá;-;-;-;-;1;-;-;-;-;-;-;-;-;1
150034 Água Azul do Norte;-;-;-;-;-;1;-;-;-;-;-;-;-;1
150040 Alenquer;-;-;-;-;-;-;2;-;-;2;-;1;-;5
150050 Almeirim;1;1;-;-;-;-;-;-;-;-;-;-;-;2
150060 Altamira;-;-;1;2;3;6;5;1;-;2;-;-;-;20
150070 Anajás;-;-;1;-;-;-;-;-;-;-;-;-;-;1
150080 Ananindeua;-;2;3;1;5;12;13;8;3;-;2;7;2;58
150085 Anapu;-;-;-;-;-;1;1;-;1;-;-;-;-;3
150090 Augusto Corrêa;-;-;-;-;1;-;1;-;-;-;1;-;-;3
150095 Aurora do Pará;-;-;-;1;1;-;-;-;-;-;-;1;-;3
150100 Aveiro;-;1;-;-;-;-;-;-;-;-;-;-;-;1
150110 Bagre;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150120 Baião;-;1;-;1;1;2;2;1;-;-;-;-;-;8
150125 Bannach;-;-;-;-;-;2;-;-;-;-;-;1;-;3
150130 Barcarena;-;1;-;-;2;2;5;1;-;-;-;1;-;12
