Município;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Idade ignorada;Total
130006 Amaturá;-;1;-;1;-;-;-;-;-;-;-;-;-;2
130008 Anamã;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130010 Anori;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130014 Apuí;-;-;-;2;-;-;-;-;-;-;-;-;-;2
130020 Atalaia do Norte;-;-;-;-;1;-;-;-;-;-;1;-;-;2
130030 Autazes;-;-;-;-;-;2;1;-;-;-;-;1;-;4
130040 Barcelos;-;-;1;1;-;-;-;-;-;-;-;-;-;2
130050 Barreirinha;-;3;1;-;1;-;-;-;-;-;-;-;-;5
130060 Benjamin Constant;-;1;-;-;1;-;-;-;-;-;-;-;-;2
130063 Beruri;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130068 Boa Vista do Ramos;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130070 Boca do Acre;-;-;-;-;-;1;-;1;1;-;1;-;-;4
130080 Borba;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130083 Caapiranga;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130090 Canutama;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130100 Carauari;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130110 Careiro;-;1;-;1;-;-;-;1;-;-;1;-;-;4
130115 Careiro da Várzea;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130120 Coari;-;-;-;-;-;-;-;-;-;1;-;-;-;1
130130 Codajás;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130140 Eirunepé;-;-;-;1;-;-;-;-;-;-;-;-;-;1
130150 Envira;-;-;-;-;-;-;1;-;-;-;1;-;-;2
130160 Fonte Boa;-;1;-;-;-;-;-;-;-;1;-;-;-;2
130165 Guajará;-;-;-;-;1;-;-;-;-;-;-;-;-;1
130170 Humaitá;-;1;-;-;2;1;-;1;-;-;1;-;-;6
130180 Ipixuna;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130185 Iranduba;-;-;-;-;-;-;1;-;1;-;-;-;-;2
130190 Itacoatiara;-;-;1;-;-;2;2;2;1;-;-;-;-;8
130195 Itamarati;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130200 Itapiranga;-;-;1;-;-;-;-;1;-;-;-;-;-;2
130210 Japurá;-;-;-;-;1;-;-;-;-;-;-;-;-;1
130220 Juruá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130230 Jutaí;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130240 Lábrea;-;-;-;2;-;-;1;-;-;-;-;-;-;3
130250 Manacapuru;-;-;1;-;-;3;-;-;-;-;1;-;-;5
130255 Manaquiri;-;-;1;-;-;-;-;-;-;-;-;-;-;1
130260 Manaus;2;12;3;11;13;47;28;26;14;8;13;23;-;200
130270 Manicoré;-;-;-;1;1;-;-;-;-;-;1;-;-;3
130280 Maraã;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130290 Maués;-;-;-;-;1;-;-;-;-;-;1;-;-;2
130300 Nhamundá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130310 Nova Olinda do Norte;-;-;-;-;-;-;-;-;-;-;1;-;-;1
130320 Novo Airão;1;-;-;-;-;-;-;-;-;-;-;-;-;1
130330 Novo Aripuanã;-;-;1;-;1;-;1;-;-;-;-;-;-;3
130340 Parintins;-;1;-;-;3;-;-;-;-;-;-;3;-;7
130350 Pauini;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130353 Presidente Figueiredo;-;1;-;-;-;-;1;-;-;1;-;-;-;3
130356 Rio Preto da Eva;-;-;-;1;-;1;-;1;-;-;-;1;-;4
130360 Santa Isabel do Rio Negro;1;-;-;-;-;-;-;-;-;-;-;-;-;1
130370 Santo Antônio do Içá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130380 São Gabriel da Cachoeira;-;-;3;1;4;3;1;-;2;-;-;1;-;15
130390 São Paulo de Olivença;-;1;-;1;1;1;-;1;-;-;-;-;-;5
130395 São Sebastião do Uatumã;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130400 Silves;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130406 Tabatinga;-;-;1;2;1;-;-;2;-;-;-;1;-;7
130410 Tapauá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130420 Tefé;-;-;-;1;1;-;-;1;-;-;-;-;-;3
130423 Tonantins;-;-;-;-;-;-;-;1;-;-;1;-;-;2
130426 Uarini;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130430 Urucará;-;1;-;1;-;-;1;1;-;-;-;-;-;4
130440 Urucurituba;-;1;-;-;-;-;-;-;-;-;-;-;-;1
130000 Município ignorado - AM;-;-;-;-;-;-;-;-;-;-;-;-;-;-
140005 Alto Alegre;-;-;1;-;-;1;-;2;-;-;-;-;-;4
140002 Amajari;-;1;-;-;-;-;-;-;-;-;-;-;-;1
140010 Boa Vista;-;2;1;1;3;11;6;3;6;3;2;3;-;41
140015 Bonfim;-;-;-;1;-;-;-;-;-;-;-;-;-;1
140017 Cantá;-;-;1;-;-;1;-;-;-;1;-;-;-;3
140020 Caracaraí;1;-;2;-;-;-;2;3;-;-;-;-;-;8
140023 Caroebe;-;1;-;-;-;-;-;-;-;1;-;-;-;2
140028 Iracema;-;-;-;-;-;-;-;-;-;-;-;-;-;-
140030 Mucajaí;-;-;-;-;-;-;-;-;-;-;-;-;-;-
140040 Normandia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
140045 Pacaraima;1;-;-;1;-;-;-;-;-;-;-;-;-;2
140047 Rorainópolis;-;-;-;1;-;-;-;-;-;-;-;-;-;1
140050 São João da Baliza;-;-;-;-;-;-;-;-;-;-;-;-;-;-
140060 São Luiz;-;-;-;-;-;-;1;-;-;-;-;-;-;1
140070 Uiramutã;-;-;-;-;-;1;1;-;-;-;1;-;-;3
140000 Município ignorado - RR;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150010 Abaetetuba;-;-;-;1;-;1;1;2;4;1;-;1;-;11
150013 Abel Figueiredo;-;-;-;-;1;-;-;-;-;-;-;-;1;2
150020 Acará;-;-;-;-;-;1;-;-;-;-;-;-;-;1
150030 Afuá;-;1;-;-;-;-;-;-;-;-;-;-;-;1
150034 Água Azul do Norte;1;-;-;-;-;1;-;1;-;-;-;-;-;3
150040 Alenquer;-;-;-;-;-;-;-;-;-;1;-;-;-;1
150050 Almeirim;-;-;-;-;-;2;-;-;1;1;-;-;-;4
150060 Altamira;-;1;1;3;4;6;1;3;2;2;1;2;-;26
150070 Anajás;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150080 Ananindeua;-;1;2;4;7;12;10;4;3;3;8;5;2;61
150085 Anapu;-;-;-;-;1;2;-;-;-;-;-;-;-;3
150090 Augusto Corrêa;-;-;-;-;1;2;-;-;-;-;-;-;-;3
150095 Aurora do Pará;-;1;-;1;-;-;1;-;-;-;1;-;-;4
150100 Aveiro;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150110 Bagre;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150120 Baião;-;-;-;-;1;1;-;-;1;1;-;-;-;4
150125 Bannach;-;-;-;-;-;-;1;-;-;-;-;-;-;1
150130 Barcarena;-;2;-;-;-;2;-;1;1;-;-;1;-;7
150140 Belém;1;2;5;3;21;32;15;17;15;15;11;23;1;161
150145 Belterra;-;1;-;-;1;-;-;-;2;-;-;-;-;4
150150 Benevides;-;-;-;-;-;1;1;1;1;-;-;-;-;4
150157 Bom Jesus do Tocantins;-;-;1;-;-;-;-;-;-;-;-;-;-;1
150160 Bonito;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150170 Bragança;-;-;-;-;-;-;1;1;-;-;2;-;-;4
150172 Brasil Novo;-;-;-;-;1;2;-;-;-;-;1;-;-;4
150175 Brejo Grande do Araguaia;-;-;-;1;-;-;-;-;-;-;-;-;-;1
150178 Breu Branco;-;-;-;1;1;2;-;1;-;-;-;1;-;6
150180 Breves;-;2;-;-;-;1;-;-;-;-;-;-;-;3
150190 Bujaru;-;-;-;-;-;-;-;-;-;1;-;-;-;1
150200 Cachoeira do Arari;-;-;-;-;-;-;-;1;-;-;-;-;-;1
150195 Cachoeira do Piriá;-;-;-;1;-;-;-;-;-;-;-;-;-;1
150210 Cametá;1;2;-;-;1;1;-;-;2;1;-;1;-;9
150215 Canaã dos Carajás;-;-;-;-;1;-;1;1;-;-;-;-;-;3
150220 Capanema;-;-;-;1;1;1;1;-;-;1;1;-;-;6
150230 Capitão Poço;-;-;-;-;-;-;3;-;1;-;1;-;-;5
150240 Castanhal;-;-;-;-;4;7;3;5;-;1;-;2;-;22
150250 Chaves;-;-;-;-;-;1;-;-;-;-;-;-;-;1
150260 Colares;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150270 Conceição do Araguaia;1;-;-;1;-;2;2;2;-;-;1;2;-;11
150275 Concórdia do Pará;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150276 Cumaru do Norte;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150277 Curionópolis;-;-;-;-;1;-;1;-;-;-;-;-;-;2
150280 Curralinho;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150285 Curuá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150290 Curuçá;-;-;1;-;-;1;-;-;-;-;-;-;-;2
150293 Dom Eliseu;-;1;-;-;-;2;2;4;-;1;-;-;-;10
150295 Eldorado do Carajás;-;-;-;2;-;1;1;-;-;-;-;-;-;4
150300 Faro;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150304 Floresta do Araguaia;-;-;-;-;1;1;1;-;-;-;-;-;-;3
150307 Garrafão do Norte;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150309 Goianésia do Pará;-;1;-;1;-;3;1;-;-;-;-;-;-;6
150310 Gurupá;-;-;-;-;-;-;1;-;-;-;-;-;-;1
150320 Igarapé-Açu;-;-;-;-;-;1;1;1;-;1;-;-;-;4
150330 Igarapé-Miri;-;-;1;-;-;2;1;1;-;-;-;-;-;5
150340 Inhangapi;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150345 Ipixuna do Pará;-;-;-;1;1;1;-;-;1;-;-;-;-;4
150350 Irituia;-;-;-;-;-;-;-;-;-;-;-;1;-;1
150360 Itaituba;-;1;-;2;3;1;-;2;1;-;-;-;-;10
150370 Itupiranga;-;1;-;1;1;2;-;1;-;-;1;1;-;8
150375 Jacareacanga;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150380 Jacundá;-;-;-;-;1;2;1;1;-;-;1;-;-;6
150390 Juruti;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150400 Limoeiro do Ajuru;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150405 Mãe do Rio;-;-;-;-;1;-;-;-;1;-;-;-;-;2
150410 Magalhães Barata;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150420 Marabá;1;-;-;2;3;5;9;2;3;-;-;1;1;27
150430 Maracanã;-;-;1;-;-;-;1;-;-;-;-;-;-;2
150440 Marapanim;-;-;-;-;-;-;-;-;1;1;-;-;-;2
150442 Marituba;-;-;-;-;1;2;1;2;1;1;-;1;-;9
150445 Medicilândia;-;1;-;-;-;-;-;-;-;-;1;-;-;2
150450 Melgaço;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150460 Mocajuba;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150470 Moju;-;-;-;-;1;3;4;-;-;-;-;-;-;8
150475 Mojuí dos Campos;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150480 Monte Alegre;-;-;-;-;3;-;-;1;1;-;-;-;-;5
150490 Muaná;1;-;-;-;-;-;-;-;1;-;-;-;-;2
150495 Nova Esperança do Piriá;-;-;-;-;-;-;1;-;-;-;-;-;-;1
150497 Nova Ipixuna;-;-;-;-;-;-;-;-;1;-;-;-;-;1
150500 Nova Timboteua;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150503 Novo Progresso;-;-;-;-;-;2;-;-;1;-;-;-;-;3
150506 Novo Repartimento;-;-;1;2;1;-;-;-;-;-;-;-;-;4
150510 Óbidos;-;-;-;1;1;-;-;-;-;-;-;-;-;2
150520 Oeiras do Pará;-;-;-;-;-;1;-;-;-;-;-;-;-;1
150530 Oriximiná;1;1;1;1;1;1;1;-;-;1;-;-;-;8
150540 Ourém;-;1;-;-;-;1;-;-;-;-;-;-;-;2
150543 Ourilândia do Norte;-;-;-;-;-;-;-;1;-;-;-;-;-;1
150548 Pacajá;-;1;-;1;-;-;-;1;1;-;-;-;-;4
150549 Palestina do Pará;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150550 Paragominas;-;1;1;3;1;1;3;4;-;1;-;-;-;15
150553 Parauapebas;-;2;2;-;3;8;3;4;3;-;-;1;-;26
150555 Pau D'Arco;-;-;-;-;-;-;-;1;-;-;-;-;-;1
150560 Peixe-Boi;-;-;-;-;-;-;-;1;-;-;-;-;-;1
150563 Piçarra;-;-;-;-;1;-;-;-;-;-;-;-;-;1
150565 Placas;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150570 Ponta de Pedras;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150580 Portel;-;-;-;-;1;-;-;-;-;-;-;-;-;1
150590 Porto de Moz;-;-;-;-;-;1;1;-;-;-;-;-;-;2
150600 Prainha;-;-;-;1;-;1;-;-;-;-;-;-;-;2
150610 Primavera;-;-;-;-;-;-;-;-;1;-;-;-;-;1
150611 Quatipuru;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150613 Redenção;-;-;-;-;-;3;1;2;-;3;-;-;-;9
150616 Rio Maria;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150618 Rondon do Pará;-;-;-;-;1;2;-;-;-;1;-;-;-;4
150619 Rurópolis;-;-;-;-;-;-;1;-;-;-;-;-;-;1
150620 Salinópolis;-;-;-;-;-;1;2;1;-;2;-;-;-;6
150630 Salvaterra;-;-;-;-;-;1;-;-;-;-;-;1;-;2
150635 Santa Bárbara do Pará;-;-;1;-;-;-;-;-;-;-;-;-;-;1
150640 Santa Cruz do Arari;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150650 Santa Izabel do Pará;-;-;-;-;1;1;1;1;2;-;-;1;-;7
150655 Santa Luzia do Pará;-;-;-;1;-;-;-;-;-;-;-;-;-;1
150658 Santa Maria das Barreiras;-;-;-;-;-;-;-;1;1;-;-;-;-;2
150660 Santa Maria do Pará;-;1;-;-;-;-;-;-;-;-;-;1;-;2
150670 Santana do Araguaia;-;-;-;-;1;1;1;-;1;-;-;-;-;4
150680 Santarém;-;2;-;-;3;6;4;-;2;2;1;3;-;23
150690 Santarém Novo;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150700 Santo Antônio do Tauá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150710 São Caetano de Odivelas;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150715 São Domingos do Araguaia;-;-;-;-;1;-;-;-;-;-;-;-;-;1
150720 São Domingos do Capim;-;-;-;-;-;1;-;1;-;-;-;-;-;2
150730 São Félix do Xingu;-;-;1;-;-;1;2;1;-;-;-;-;-;5
150740 São Francisco do Pará;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150745 São Geraldo do Araguaia;-;-;-;-;1;-;-;-;-;-;-;-;-;1
150746 São João da Ponta;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150747 São João de Pirabas;-;-;-;-;-;2;-;-;-;1;-;-;-;3
150750 São João do Araguaia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150760 São Miguel do Guamá;1;-;-;-;-;-;-;-;-;-;-;-;-;1
150770 São Sebastião da Boa Vista;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150775 Sapucaia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150780 Senador José Porfírio;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150790 Soure;-;-;-;-;1;-;-;-;-;-;-;-;-;1
150795 Tailândia;-;1;-;1;1;2;1;-;-;1;-;-;-;7
150796 Terra Alta;-;-;-;-;-;1;-;-;-;-;-;-;-;1
150797 Terra Santa;-;-;1;-;-;-;-;-;-;-;-;-;-;1
150800 Tomé-Açu;-;-;-;-;-;-;1;-;-;-;-;-;-;1
150803 Tracuateua;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150805 Trairão;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150808 Tucumã;-;-;1;-;1;1;3;2;2;-;-;-;-;10
150810 Tucuruí;-;1;-;-;2;1;4;2;-;1;1;-;-;12
150812 Ulianópolis;-;-;-;-;-;3;-;-;-;-;1;-;-;4
150815 Uruará;-;-;1;-;-;2;-;-;-;1;1;-;-;5
150820 Vigia;-;-;-;-;-;-;2;-;-;-;-;-;-;2
150830 Viseu;-;-;-;1;-;-;-;-;-;-;-;-;-;1
150835 Vitória do Xingu;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150840 Xinguara;-;-;-;-;-;1;1;1;-;-;1;-;-;4
150000 Município ignorado - PA;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160010 Amapá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160020 Calçoene;-;-;-;-;-;3;1;1;-;-;-;-;-;5
160021 Cutias;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160023 Ferreira Gomes;-;-;-;-;-;-;-;1;-;-;-;-;-;1
160025 Itaubal;-;-;-;-;-;-;1;-;-;-;-;-;-;1
160027 Laranjal do Jari;-;1;-;-;2;-;2;1;-;-;-;-;-;6
160030 Macapá;2;6;2;3;8;8;10;3;6;2;2;1;-;53
160040 Mazagão;-;-;1;-;-;1;-;-;-;-;-;-;-;2
160050 Oiapoque;-;-;1;-;-;-;1;-;-;-;-;-;-;2
160015 Pedra Branca do Amapari;-;-;-;-;1;1;-;-;-;-;-;-;-;2
160053 Porto Grande;1;-;-;-;-;-;-;1;-;-;-;-;-;2
160055 Pracuúba;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160060 Santana;1;1;-;-;4;2;3;1;3;-;1;-;-;16
160005 Serra do Navio;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160070 Tartarugalzinho;-;1;-;-;-;-;-;-;-;-;-;-;-;1
160080 Vitória do Jari;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160000 Município ignorado - AP;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170025 Abreulândia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170030 Aguiarnópolis;-;-;-;-;-;-;-;-;-;-;-;1;-;1
170035 Aliança do Tocantins;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170040 Almas;-;-;-;-;-;1;-;-;-;-;-;-;-;1
170070 Alvorada;-;-;-;-;-;1;-;-;-;-;-;3;-;4
170100 Ananás;-;-;1;-;-;-;-;-;-;-;-;-;-;1
170105 Angico;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170110 Aparecida do Rio Negro;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170130 Aragominas;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170190 Araguacema;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170200 Araguaçu;-;-;-;-;-;-;-;-;-;-;-;1;-;1
170210 Araguaína;-;-;-;1;4;4;6;3;2;-;2;1;-;23
170215 Araguanã;-;-;1;-;-;-;-;-;-;-;-;-;-;1
170220 Araguatins;-;-;-;-;-;2;2;1;-;1;1;-;-;7
170230 Arapoema;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170240 Arraias;-;-;-;1;-;-;-;-;-;-;-;-;-;1
170255 Augustinópolis;-;-;1;-;-;-;-;-;-;-;-;-;-;1
170270 Aurora do Tocantins;-;-;-;-;-;-;-;1;-;-;-;-;-;1
170290 Axixá do Tocantins;-;-;-;1;-;-;-;-;1;-;-;-;-;2
170300 Babaçulândia;-;1;-;-;-;-;-;1;-;-;-;-;-;2
170305 Bandeirantes do Tocantins;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170307 Barra do Ouro;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170310 Barrolândia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170320 Bernardo Sayão;-;-;-;-;-;-;-;-;1;-;-;-;-;1
170330 Bom Jesus do Tocantins;-;-;-;-;-;-;-;-;-;-;-;-;1;1
170360 Brasilândia do Tocantins;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170370 Brejinho de Nazaré;-;-;-;-;-;1;1;-;-;-;-;-;-;2
170380 Buriti do Tocantins;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170382 Cachoeirinha;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170384 Campos Lindos;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170386 Cariri do Tocantins;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170388 Carmolândia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170389 Carrasco Bonito;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170390 Caseara;-;-;-;-;1;-;-;-;-;-;-;-;-;1
170410 Centenário;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170510 Chapada da Natividade;-;-;-;-;-;-;-;-;-;-;-;-;-;-
