 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Município e Faixa Etária
Sexo: Fem
Período:2010
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"120060 Tarauacá";-;-;1;-;-;1;-;1;-;-;-;-;-;3
"120070 Xapuri";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"120000 Município ignorado - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130002 Alvarães";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"130006 Amaturá";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130008 Anamã";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130010 Anori";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130014 Apuí";-;-;-;-;-;-;-;-;1;-;-;1;-;2
"130020 Atalaia do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130030 Autazes";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130040 Barcelos";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130050 Barreirinha";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130060 Benjamin Constant";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"130063 Beruri";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130070 Boca do Acre";1;-;1;-;1;-;-;-;1;-;-;1;-;5
"130080 Borba";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130083 Caapiranga";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130090 Canutama";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130100 Carauari";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130110 Careiro";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"130115 Careiro da Várzea";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"130120 Coari";-;1;1;1;-;4;-;-;-;-;-;-;-;7
"130130 Codajás";-;-;-;-;-;1;-;-;-;-;1;-;-;2
"130140 Eirunepé";-;1;-;-;2;-;-;-;-;-;-;-;-;3
"130150 Envira";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130160 Fonte Boa";-;-;-;-;-;2;-;1;-;-;-;-;-;3
"130165 Guajará";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130170 Humaitá";-;1;-;-;2;1;-;-;-;1;1;1;-;7
"130180 Ipixuna";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130185 Iranduba";-;-;-;-;1;1;1;-;-;-;-;-;-;3
"130190 Itacoatiara";-;-;-;-;1;-;2;-;-;-;-;-;-;3
"130195 Itamarati";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130200 Itapiranga";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130210 Japurá";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130220 Juruá";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130230 Jutaí";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130240 Lábrea";-;1;-;-;2;1;-;-;-;-;-;-;-;4
"130250 Manacapuru";2;1;1;-;1;2;-;-;1;-;-;-;-;8
"130255 Manaquiri";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130260 Manaus";1;8;7;7;27;35;32;25;17;11;15;18;-;203
"130270 Manicoré";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130280 Maraã";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130290 Maués";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"130300 Nhamundá";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130310 Nova Olinda do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130320 Novo Airão";-;-;1;-;-;-;-;1;-;-;-;-;1;3
"130330 Novo Aripuanã";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"130340 Parintins";-;-;1;1;-;-;2;-;1;1;-;-;-;6
"130350 Pauini";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"130353 Presidente Figueiredo";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"130356 Rio Preto da Eva";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"130380 São Gabriel da Cachoeira";-;-;-;1;3;2;-;1;1;1;-;-;-;9
"130390 São Paulo de Olivença";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130395 São Sebastião do Uatumã";-;-;-;1;-;-;-;-;-;-;-;1;-;2
"130400 Silves";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130406 Tabatinga";-;-;-;2;1;-;1;-;2;1;-;-;-;7
"130410 Tapauá";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130420 Tefé";-;3;2;-;1;-;-;-;-;1;1;-;-;8
"130423 Tonantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130426 Uarini";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"130430 Urucará";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"130440 Urucurituba";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130000 Município ignorado - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"140005 Alto Alegre";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"140002 Amajari";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"140010 Boa Vista";-;-;-;2;7;12;10;7;1;2;1;3;-;45
"140015 Bonfim";-;-;-;1;-;-;1;1;-;-;-;-;-;3
"140017 Cantá";1;-;-;1;-;1;1;-;-;-;-;-;-;4
"140020 Caracaraí";-;-;-;-;-;1;1;1;1;-;-;-;-;4
"140023 Caroebe";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"140028 Iracema";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"140030 Mucajaí";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"140040 Normandia";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"140045 Pacaraima";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"140047 Rorainópolis";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"140050 São João da Baliza";-;-;-;-;-;-;-;1;1;-;1;-;-;3
"140060 São Luiz";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"140070 Uiramutã";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"140000 Município ignorado - RR";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150010 Abaetetuba";2;-;-;1;3;2;-;2;1;-;2;1;-;14
"150013 Abel Figueiredo";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150020 Acará";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"150030 Afuá";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150034 Água Azul do Norte";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"150040 Alenquer";-;-;-;-;-;1;1;1;-;-;-;-;-;3
"150050 Almeirim";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150060 Altamira";-;2;-;1;1;3;4;-;1;-;-;-;-;12
"150070 Anajás";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"150080 Ananindeua";1;1;3;6;4;16;8;10;3;5;5;3;-;65
"150085 Anapu";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150090 Augusto Corrêa";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150095 Aurora do Pará";-;-;-;-;-;1;-;-;-;-;1;-;-;2
"150100 Aveiro";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150110 Bagre";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150120 Baião";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150125 Bannach";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150130 Barcarena";-;-;-;-;1;5;1;-;-;1;-;1;-;9
"150140 Belém";-;5;4;3;14;37;21;12;7;3;8;11;1;126
"150145 Belterra";-;-;-;-;-;-;-;1;-;1;-;-;-;2
"150150 Benevides";-;-;-;-;2;1;-;-;2;-;-;-;-;5
"150157 Bom Jesus do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150160 Bonito";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150170 Bragança";-;-;-;-;1;4;2;1;-;-;1;-;-;9
"150172 Brasil Novo";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150175 Brejo Grande do Araguaia";-;-;-;-;1;-;1;1;-;-;-;-;-;3
"150178 Breu Branco";-;-;-;-;-;1;-;1;1;-;1;-;-;4
"150180 Breves";-;6;1;-;-;1;1;-;-;-;-;-;-;9
"150190 Bujaru";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"150200 Cachoeira do Arari";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150195 Cachoeira do Piriá";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"150210 Cametá";-;1;-;-;1;1;-;-;1;-;-;3;-;7
"150215 Canaã dos Carajás";-;1;-;-;1;1;-;1;-;-;-;-;-;4
"150220 Capanema";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150230 Capitão Poço";-;-;2;1;-;2;-;1;-;-;-;-;-;6
"150240 Castanhal";-;-;-;1;2;4;3;2;1;3;2;1;-;19
"150250 Chaves";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150260 Colares";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150270 Conceição do Araguaia";-;2;1;1;-;-;-;-;-;-;-;-;-;4
"150275 Concórdia do Pará";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"150276 Cumaru do Norte";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"150277 Curionópolis";-;-;-;-;1;1;-;-;-;1;-;-;-;3
"150280 Curralinho";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150285 Curuá";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150290 Curuçá";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150293 Dom Eliseu";-;-;-;-;1;1;1;-;-;-;-;-;-;3
"150295 Eldorado do Carajás";-;-;-;-;1;2;1;-;-;-;-;-;-;4
"150300 Faro";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150304 Floresta do Araguaia";-;-;-;-;-;2;1;-;-;-;1;-;-;4
"150307 Garrafão do Norte";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150309 Goianésia do Pará";-;-;-;-;-;3;-;-;-;-;-;-;-;3
"150310 Gurupá";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150320 Igarapé-Açu";-;-;-;-;-;1;-;1;-;1;-;-;-;3
"150330 Igarapé-Miri";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150340 Inhangapi";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150345 Ipixuna do Pará";-;1;-;-;1;-;2;-;-;-;-;-;-;4
"150350 Irituia";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150360 Itaituba";-;2;2;-;-;-;3;2;2;-;-;-;-;11
"150370 Itupiranga";-;-;-;-;1;1;3;-;-;1;-;-;1;7
"150375 Jacareacanga";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"150380 Jacundá";-;1;-;-;-;2;2;1;-;1;-;-;-;7
"150390 Juruti";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150400 Limoeiro do Ajuru";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150405 Mãe do Rio";-;1;-;-;-;-;1;-;-;-;-;-;-;2
"150410 Magalhães Barata";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150420 Marabá";-;2;1;1;5;6;7;3;2;-;1;-;-;28
"150430 Maracanã";-;1;-;-;-;1;-;-;-;-;-;-;-;2
"150440 Marapanim";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"150442 Marituba";-;-;-;1;2;-;-;2;2;-;1;1;-;9
"150445 Medicilândia";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"150450 Melgaço";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150460 Mocajuba";-;1;-;-;-;-;1;-;-;-;1;-;-;3
"150470 Moju";-;-;-;1;3;1;-;-;-;-;-;-;-;5
"150475 Mojuí dos Campos";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150480 Monte Alegre";-;1;-;-;1;1;3;-;1;-;-;-;-;7
"150490 Muaná";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"150495 Nova Esperança do Piriá";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150497 Nova Ipixuna";-;-;-;1;-;-;-;1;-;-;-;-;-;2
"150500 Nova Timboteua";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150503 Novo Progresso";-;-;-;1;-;-;2;2;1;-;-;-;-;6
"150506 Novo Repartimento";-;-;1;-;-;5;1;-;1;1;-;-;-;9
"150510 Óbidos";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"150520 Oeiras do Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150530 Oriximiná";-;-;-;-;2;3;-;-;1;-;1;-;-;7
"150540 Ourém";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150543 Ourilândia do Norte";-;-;-;-;1;2;1;-;-;-;-;-;-;4
"150548 Pacajá";1;1;2;-;1;-;-;-;1;-;-;-;-;6
"150549 Palestina do Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150550 Paragominas";-;1;1;-;2;8;3;1;2;1;-;-;1;20
"150553 Parauapebas";-;1;2;1;3;3;2;2;3;-;-;-;-;17
"150555 Pau D'Arco";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150560 Peixe-Boi";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"150563 Piçarra";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150565 Placas";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150570 Ponta de Pedras";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150580 Portel";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150590 Porto de Moz";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150600 Prainha";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"150610 Primavera";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150611 Quatipuru";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150613 Redenção";-;-;1;-;2;5;2;5;-;-;-;-;-;15
"150616 Rio Maria";-;-;1;-;-;-;-;-;-;1;-;-;-;2
"150618 Rondon do Pará";-;-;-;-;-;4;2;-;-;-;-;-;-;6
"150619 Rurópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150620 Salinópolis";-;-;-;-;-;-;2;-;1;-;-;-;-;3
"150630 Salvaterra";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"150635 Santa Bárbara do Pará";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150640 Santa Cruz do Arari";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150650 Santa Izabel do Pará";-;-;-;2;-;2;1;-;1;1;1;1;-;9
"150655 Santa Luzia do Pará";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"150658 Santa Maria das Barreiras";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"150660 Santa Maria do Pará";-;-;-;-;2;1;-;-;-;-;-;1;-;4
"150670 Santana do Araguaia";-;2;-;-;1;-;1;3;-;-;-;1;-;8
"150680 Santarém";-;-;-;-;3;3;1;2;-;1;-;-;-;10
"150690 Santarém Novo";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150700 Santo Antônio do Tauá";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150710 São Caetano de Odivelas";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150715 São Domingos do Araguaia";1;-;1;-;-;-;-;1;-;1;-;-;-;4
"150720 São Domingos do Capim";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150730 São Félix do Xingu";-;2;1;2;1;2;1;2;-;1;-;-;-;12
"150740 São Francisco do Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150745 São Geraldo do Araguaia";-;1;-;-;-;1;-;2;-;-;1;-;-;5
"150746 São João da Ponta";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150747 São João de Pirabas";-;-;-;1;-;-;1;-;-;-;-;-;-;2
"150750 São João do Araguaia";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150760 São Miguel do Guamá";-;-;-;-;-;-;2;1;-;-;-;1;-;4
"150770 São Sebastião da Boa Vista";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"150775 Sapucaia";-;-;1;-;-;-;-;1;-;-;-;-;-;2
"150780 Senador José Porfírio";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150790 Soure";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150795 Tailândia";-;-;-;-;3;3;2;1;1;-;-;-;-;10
"150796 Terra Alta";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150797 Terra Santa";-;-;1;-;-;-;-;1;-;-;-;-;-;2
"150800 Tomé-Açu";-;1;1;1;-;2;1;-;-;-;-;-;-;6
"150803 Tracuateua";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150805 Trairão";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150808 Tucumã";-;-;1;-;2;5;3;1;-;1;1;5;-;19
"150810 Tucuruí";-;-;1;-;1;3;1;2;3;-;1;2;-;14
"150812 Ulianópolis";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150815 Uruará";-;1;1;-;-;-;1;1;-;-;-;-;-;4
"150820 Vigia";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"150830 Viseu";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150835 Vitória do Xingu";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150840 Xinguara";-;-;-;-;-;4;1;-;-;-;-;1;-;6
"150000 Município ignorado - PA";-;-;-;-;-;-;1;-;-;-;-;-;1;2
"160010 Amapá";-;-;-;-;2;-;-;-;-;-;-;-;-;2
"160020 Calçoene";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"160021 Cutias";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"160023 Ferreira Gomes";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"160025 Itaubal";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"160027 Laranjal do Jari";-;1;1;-;-;1;-;1;-;-;-;1;-;5
"160030 Macapá";2;2;2;4;-;10;4;6;3;4;1;3;-;41
"160040 Mazagão";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"160050 Oiapoque";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"160015 Pedra Branca do Amapari";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"160053 Porto Grande";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"160055 Pracuúba";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"160060 Santana";-;1;1;1;2;-;-;1;-;-;-;-;-;6
"160005 Serra do Navio";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"160070 Tartarugalzinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"160080 Vitória do Jari";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"160000 Município ignorado - AP";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170025 Abreulândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170030 Aguiarnópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"170035 Aliança do Tocantins";-;1;-;-;-;-;1;-;-;-;-;-;-;2
"170040 Almas";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"170070 Alvorada";-;-;-;-;1;-;1;-;-;-;-;1;-;3
"170100 Ananás";-;-;1;1;-;-;-;-;-;1;-;-;-;3
"170105 Angico";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170110 Aparecida do Rio Negro";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170130 Aragominas";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170190 Araguacema";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"170200 Araguaçu";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"170210 Araguaína";1;-;4;-;1;11;5;2;1;2;1;2;-;30
"170215 Araguanã";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"170220 Araguatins";1;-;-;1;1;-;1;2;-;-;1;1;-;8
"170230 Arapoema";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170240 Arraias";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170255 Augustinópolis";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"170270 Aurora do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170290 Axixá do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170300 Babaçulândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170305 Bandeirantes do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170307 Barra do Ouro";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"170310 Barrolândia";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"170320 Bernardo Sayão";-;-;-;-;-;-;-;-;1;-;-;-;-;1
