 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Município e Cor/raça
Sexo: Fem
Período:2013
"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"110001 Alta Floresta D'Oeste";5;-;-;-;-;-;5
"110037 Alto Alegre dos Parecis";1;-;-;1;-;-;2
"110040 Alto Paraíso";-;-;-;2;-;-;2
"110034 Alvorada D'Oeste";1;-;-;1;-;-;2
"110002 Ariquemes";7;1;-;6;-;1;15
"110045 Buritis";1;2;-;1;-;-;4
"110003 Cabixi";-;-;-;1;-;-;1
"110060 Cacaulândia";1;-;-;1;-;-;2
"110004 Cacoal";7;1;-;5;-;-;13
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;-
"110080 Candeias do Jamari";3;-;-;6;-;1;10
"110090 Castanheiras";-;-;-;-;-;-;-
"110005 Cerejeiras";2;-;-;1;-;1;4
"110092 Chupinguaia";-;-;-;-;-;-;-
"110006 Colorado do Oeste";2;-;-;-;-;-;2
"110007 Corumbiara";-;-;-;1;-;-;1
"110008 Costa Marques";-;-;-;-;-;-;-
"110094 Cujubim";-;-;-;2;-;-;2
"110009 Espigão D'Oeste";-;-;-;-;-;-;-
"110100 Governador Jorge Teixeira";-;-;-;1;-;-;1
"110010 Guajará-Mirim";-;-;-;6;-;-;6
"110110 Itapuã do Oeste";-;-;-;3;-;-;3
"110011 Jaru";2;-;-;2;-;-;4
"110012 Ji-Paraná";9;1;-;8;-;4;22
"110013 Machadinho D'Oeste";2;-;-;-;-;1;3
"110120 Ministro Andreazza";1;-;-;2;-;-;3
"110130 Mirante da Serra";-;-;-;1;-;-;1
"110140 Monte Negro";3;-;-;-;-;-;3
"110014 Nova Brasilândia D'Oeste";1;1;-;1;-;-;3
"110033 Nova Mamoré";3;-;-;-;-;-;3
"110143 Nova União";1;1;-;1;-;-;3
"110050 Novo Horizonte do Oeste";1;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";4;-;-;3;-;-;7
"110145 Parecis";-;-;-;1;-;-;1
"110018 Pimenta Bueno";6;-;-;2;-;-;8
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-
"110020 Porto Velho";24;3;-;34;-;2;63
"110025 Presidente Médici";2;1;-;-;-;-;3
"110147 Primavera de Rondônia";-;-;-;-;-;-;-
"110026 Rio Crespo";2;-;-;-;-;-;2
"110028 Rolim de Moura";4;1;-;3;-;-;8
"110029 Santa Luzia D'Oeste";3;-;-;-;-;-;3
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-
"110149 São Francisco do Guaporé";1;-;-;-;-;-;1
"110032 São Miguel do Guaporé";2;-;-;-;-;-;2
"110150 Seringueiras";1;-;-;2;-;-;3
"110155 Teixeirópolis";-;-;-;-;-;-;-
"110160 Theobroma";-;-;-;1;-;-;1
"110170 Urupá";-;-;-;-;-;-;-
"110175 Vale do Anari";-;1;-;1;-;-;2
"110180 Vale do Paraíso";-;-;-;-;-;-;-
"110030 Vilhena";10;-;-;3;-;1;14
"110000 Município ignorado - RO";1;-;-;-;-;-;1
"120001 Acrelândia";-;-;-;-;-;-;-
"120005 Assis Brasil";-;-;-;1;-;-;1
"120010 Brasiléia";-;-;-;2;-;1;3
"120013 Bujari";-;-;-;1;-;-;1
"120017 Capixaba";-;-;-;-;-;-;-
"120020 Cruzeiro do Sul";2;-;-;4;-;-;6
"120025 Epitaciolândia";-;-;-;2;-;-;2
"120030 Feijó";-;-;-;4;-;-;4
"120032 Jordão";-;-;-;-;-;-;-
"120033 Mâncio Lima";-;-;-;3;-;-;3
"120034 Manoel Urbano";-;-;-;-;-;-;-
"120035 Marechal Thaumaturgo";-;-;-;1;-;-;1
"120038 Plácido de Castro";-;-;-;5;-;-;5
"120080 Porto Acre";1;-;-;1;-;-;2
"120039 Porto Walter";-;-;-;-;-;-;-
"120040 Rio Branco";7;-;-;33;-;-;40
"120042 Rodrigues Alves";-;-;-;-;-;-;-
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-
"120050 Sena Madureira";1;-;-;4;-;-;5
"120045 Senador Guiomard";1;-;-;5;-;-;6
"120060 Tarauacá";1;-;-;-;-;-;1
"120070 Xapuri";-;-;-;2;-;-;2
"120000 Município ignorado - AC";-;-;-;-;-;-;-
"130002 Alvarães";-;-;-;1;-;-;1
"130006 Amaturá";-;-;-;-;1;-;1
"130008 Anamã";-;-;-;-;-;-;-
"130010 Anori";-;-;-;-;-;-;-
"130014 Apuí";-;-;-;3;-;-;3
"130020 Atalaia do Norte";-;-;-;-;2;-;2
"130030 Autazes";-;-;-;3;-;-;3
"130040 Barcelos";-;-;-;1;11;-;12
"130050 Barreirinha";-;-;-;-;2;-;2
"130060 Benjamin Constant";1;-;-;2;3;-;6
