 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Município e Cor/raça
Sexo: Fem
Período:2014
"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"110001 Alta Floresta D'Oeste";1;-;-;3;-;-;4
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;-
"110040 Alto Paraíso";1;-;-;1;-;-;2
"110034 Alvorada D'Oeste";1;-;-;2;-;1;4
"110002 Ariquemes";3;2;-;10;-;-;15
"110045 Buritis";3;-;-;4;-;-;7
"110003 Cabixi";-;-;-;-;-;-;-
"110060 Cacaulândia";-;1;-;1;-;-;2
"110004 Cacoal";6;-;-;5;-;-;11
"110070 Campo Novo de Rondônia";-;-;-;1;-;-;1
"110080 Candeias do Jamari";1;-;-;4;-;-;5
"110090 Castanheiras";-;-;-;1;-;-;1
"110005 Cerejeiras";1;-;-;-;-;-;1
"110092 Chupinguaia";1;-;-;-;-;-;1
"110006 Colorado do Oeste";2;-;-;1;-;-;3
"110007 Corumbiara";-;-;-;-;-;-;-
"110008 Costa Marques";2;1;-;1;-;-;4
"110094 Cujubim";-;-;-;-;-;-;-
"110009 Espigão D'Oeste";1;-;-;2;-;-;3
"110100 Governador Jorge Teixeira";-;1;-;3;-;-;4
"110010 Guajará-Mirim";2;-;-;4;-;-;6
"110110 Itapuã do Oeste";-;-;-;1;-;-;1
"110011 Jaru";1;-;-;1;-;-;2
"110012 Ji-Paraná";9;-;-;7;-;1;17
"110013 Machadinho D'Oeste";3;-;-;3;-;-;6
"110120 Ministro Andreazza";-;-;-;-;-;-;-
"110130 Mirante da Serra";2;-;-;-;-;-;2
"110140 Monte Negro";-;1;-;2;-;-;3
"110014 Nova Brasilândia D'Oeste";1;-;-;1;-;-;2
"110033 Nova Mamoré";-;-;-;1;-;-;1
"110143 Nova União";-;-;-;-;-;-;-
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;-
"110015 Ouro Preto do Oeste";2;1;-;3;-;-;6
"110145 Parecis";-;-;-;1;-;-;1
"110018 Pimenta Bueno";1;-;-;5;-;-;6
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-
"110020 Porto Velho";22;5;-;34;-;1;62
"110025 Presidente Médici";1;-;-;2;-;-;3
"110147 Primavera de Rondônia";-;-;-;-;-;-;-
"110026 Rio Crespo";-;-;-;-;-;-;-
"110028 Rolim de Moura";5;2;-;1;-;-;8
"110029 Santa Luzia D'Oeste";-;-;-;2;-;-;2
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-
"110149 São Francisco do Guaporé";-;-;-;1;-;-;1
"110032 São Miguel do Guaporé";-;-;-;1;-;-;1
"110150 Seringueiras";1;-;-;-;-;-;1
"110155 Teixeirópolis";-;-;-;2;-;-;2
"110160 Theobroma";-;-;-;-;-;-;-
"110170 Urupá";-;-;-;1;-;-;1
"110175 Vale do Anari";-;-;-;1;-;-;1
"110180 Vale do Paraíso";-;-;-;-;-;-;-
"110030 Vilhena";6;-;-;3;-;-;9
"110000 Município ignorado - RO";-;-;-;1;-;1;2
"120001 Acrelândia";-;-;-;-;-;-;-
"120005 Assis Brasil";-;-;-;-;-;-;-
"120010 Brasiléia";1;-;-;2;-;2;5
"120013 Bujari";-;-;-;1;-;-;1
"120017 Capixaba";-;-;-;-;-;-;-
"120020 Cruzeiro do Sul";-;2;-;4;-;-;6
"120025 Epitaciolândia";-;-;-;1;-;-;1
"120030 Feijó";-;-;-;2;-;-;2
"120032 Jordão";-;-;-;-;-;-;-
"120033 Mâncio Lima";1;-;-;1;-;-;2
"120034 Manoel Urbano";-;-;-;-;-;-;-
"120035 Marechal Thaumaturgo";-;-;-;-;-;-;-
"120038 Plácido de Castro";-;-;-;-;-;-;-
"120080 Porto Acre";-;-;-;1;-;-;1
"120039 Porto Walter";-;-;-;2;-;-;2
"120040 Rio Branco";15;2;-;34;-;-;51
"120042 Rodrigues Alves";2;-;-;2;-;-;4
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-
"120050 Sena Madureira";2;1;-;2;-;1;6
"120045 Senador Guiomard";-;-;-;1;-;-;1
"120060 Tarauacá";3;-;-;1;-;-;4
"120070 Xapuri";-;-;-;1;-;-;1
"120000 Município ignorado - AC";-;-;-;-;-;-;-
"130002 Alvarães";-;-;-;3;-;-;3
"130006 Amaturá";-;-;-;-;2;-;2
"130008 Anamã";-;-;-;-;-;-;-
"130010 Anori";-;-;-;1;-;-;1
"130014 Apuí";2;-;-;1;-;-;3
"130020 Atalaia do Norte";-;-;-;2;1;-;3
"130030 Autazes";-;-;-;1;1;-;2
"130040 Barcelos";-;-;-;1;-;-;1
"130050 Barreirinha";-;-;-;3;1;-;4
"130060 Benjamin Constant";1;-;-;1;-;-;2
"130063 Beruri";-;-;-;2;-;-;2
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-
"130070 Boca do Acre";-;-;-;1;-;-;1
"130080 Borba";-;-;-;5;-;-;5
"130083 Caapiranga";-;-;-;-;-;-;-
"130090 Canutama";-;-;-;2;-;-;2
"130100 Carauari";-;-;-;-;-;-;-
"130110 Careiro";-;-;-;-;-;-;-
"130115 Careiro da Várzea";-;-;-;1;1;-;2
"130120 Coari";-;-;-;7;-;-;7
"130130 Codajás";-;-;-;-;-;-;-
"130140 Eirunepé";-;-;-;1;1;-;2
"130150 Envira";-;-;-;1;3;-;4
"130160 Fonte Boa";-;-;-;2;-;-;2
"130165 Guajará";-;-;-;1;-;-;1
"130170 Humaitá";1;-;-;5;-;-;6
"130180 Ipixuna";-;-;-;-;1;-;1
"130185 Iranduba";1;-;-;4;-;1;6
"130190 Itacoatiara";1;-;-;5;-;-;6
"130195 Itamarati";-;-;-;-;-;-;-
"130200 Itapiranga";-;-;-;-;-;-;-
"130210 Japurá";-;-;-;-;-;-;-
"130220 Juruá";-;-;-;1;-;-;1
"130230 Jutaí";-;-;-;2;-;-;2
"130240 Lábrea";-;-;-;3;-;-;3
"130250 Manacapuru";-;-;-;5;-;-;5
"130255 Manaquiri";-;-;-;1;-;-;1
"130260 Manaus";30;1;2;170;-;2;205
"130270 Manicoré";1;-;-;1;-;-;2
"130280 Maraã";-;-;-;-;-;-;-
"130290 Maués";-;-;-;2;-;-;2
"130300 Nhamundá";-;-;-;1;-;-;1
