 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Município e Cor/raça
Sexo: Fem
Período:2015
"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"110001 Alta Floresta D'Oeste";3;-;-;1;-;-;4
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;-
"110040 Alto Paraíso";2;1;-;2;-;-;5
"110034 Alvorada D'Oeste";1;-;-;3;-;-;4
"110002 Ariquemes";9;1;-;13;-;-;23
"110045 Buritis";1;-;-;5;-;1;7
"110003 Cabixi";1;-;-;-;-;-;1
"110060 Cacaulândia";1;-;-;-;-;-;1
"110004 Cacoal";3;-;-;4;-;-;7
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;-
"110080 Candeias do Jamari";-;1;-;4;-;-;5
"110090 Castanheiras";-;-;-;-;-;-;-
"110005 Cerejeiras";-;-;-;-;-;-;-
"110092 Chupinguaia";-;-;-;3;-;-;3
"110006 Colorado do Oeste";2;-;-;-;-;-;2
"110007 Corumbiara";-;-;-;-;-;-;-
"110008 Costa Marques";-;1;-;2;1;-;4
"110094 Cujubim";1;-;-;1;-;-;2
"110009 Espigão D'Oeste";2;-;-;-;-;-;2
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-
"110010 Guajará-Mirim";3;-;-;3;-;-;6
"110110 Itapuã do Oeste";-;1;-;1;-;-;2
"110011 Jaru";1;-;-;3;-;-;4
"110012 Ji-Paraná";5;-;-;10;-;1;16
"110013 Machadinho D'Oeste";1;-;-;6;-;-;7
"110120 Ministro Andreazza";2;-;-;2;-;-;4
"110130 Mirante da Serra";1;-;-;-;-;-;1
"110140 Monte Negro";-;-;-;2;-;-;2
"110014 Nova Brasilândia D'Oeste";-;-;-;1;-;-;1
"110033 Nova Mamoré";2;-;-;1;-;-;3
"110143 Nova União";-;-;-;-;-;-;-
"110050 Novo Horizonte do Oeste";-;-;-;1;-;-;1
"110015 Ouro Preto do Oeste";-;-;-;-;-;-;-
"110145 Parecis";-;-;-;-;-;-;-
"110018 Pimenta Bueno";1;-;-;5;-;-;6
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-
"110020 Porto Velho";24;3;-;45;-;-;72
"110025 Presidente Médici";-;-;-;3;-;-;3
"110147 Primavera de Rondônia";-;-;-;1;-;-;1
"110026 Rio Crespo";-;-;-;-;-;-;-
"110028 Rolim de Moura";3;1;-;4;-;-;8
"110029 Santa Luzia D'Oeste";2;-;-;-;-;-;2
"110148 São Felipe D'Oeste";1;-;-;-;-;-;1
"110149 São Francisco do Guaporé";3;-;-;-;-;-;3
"110032 São Miguel do Guaporé";2;2;-;3;-;-;7
"110150 Seringueiras";1;-;-;1;-;-;2
"110155 Teixeirópolis";-;-;-;-;-;-;-
"110160 Theobroma";1;-;-;-;-;-;1
"110170 Urupá";-;-;-;1;-;-;1
"110175 Vale do Anari";-;-;-;-;-;-;-
"110180 Vale do Paraíso";-;-;-;-;-;-;-
"110030 Vilhena";4;-;-;10;1;1;16
"110000 Município ignorado - RO";-;-;-;1;-;-;1
"120001 Acrelândia";-;-;-;-;-;-;-
"120005 Assis Brasil";-;-;-;1;-;-;1
"120010 Brasiléia";1;-;-;-;-;-;1
"120013 Bujari";1;-;-;1;-;-;2
"120017 Capixaba";-;-;-;-;-;-;-
"120020 Cruzeiro do Sul";1;-;-;3;-;-;4
"120025 Epitaciolândia";1;-;-;-;-;-;1
"120030 Feijó";2;-;1;1;-;-;4
"120032 Jordão";-;-;-;-;-;-;-
"120033 Mâncio Lima";-;1;-;-;-;-;1
"120034 Manoel Urbano";1;-;-;1;-;-;2
"120035 Marechal Thaumaturgo";1;-;-;-;-;-;1
"120038 Plácido de Castro";1;-;-;-;-;-;1
"120080 Porto Acre";-;-;-;-;-;-;-
"120039 Porto Walter";-;-;-;-;-;-;-
"120040 Rio Branco";8;3;-;24;-;1;36
"120042 Rodrigues Alves";-;-;-;-;-;-;-
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-
"120050 Sena Madureira";2;-;-;-;-;-;2
"120045 Senador Guiomard";-;1;-;2;-;-;3
"120060 Tarauacá";1;1;-;2;1;1;6
"120070 Xapuri";-;-;-;-;-;-;-
"120000 Município ignorado - AC";-;-;-;-;-;-;-
"130002 Alvarães";-;-;-;-;1;-;1
"130006 Amaturá";-;-;-;-;-;-;-
"130008 Anamã";-;-;-;-;-;-;-
"130010 Anori";-;-;-;-;-;-;-
"130014 Apuí";1;1;-;1;-;-;3
"130020 Atalaia do Norte";1;-;-;-;3;-;4
"130030 Autazes";1;-;-;4;1;-;6
"130040 Barcelos";-;-;-;-;12;-;12
"130050 Barreirinha";-;-;-;1;1;-;2
"130060 Benjamin Constant";-;-;-;2;8;-;10
"130063 Beruri";-;-;-;2;-;-;2
"130068 Boa Vista do Ramos";-;-;-;3;-;-;3
"130070 Boca do Acre";-;-;-;8;-;-;8
"130080 Borba";-;-;-;1;-;-;1
"130083 Caapiranga";-;-;-;-;-;-;-
"130090 Canutama";-;-;-;-;-;-;-
"130100 Carauari";1;-;-;-;-;-;1
"130110 Careiro";-;-;-;4;-;-;4
"130115 Careiro da Várzea";-;-;-;-;-;-;-
"130120 Coari";2;-;-;5;-;-;7
"130130 Codajás";-;1;-;1;-;-;2
"130140 Eirunepé";-;-;-;3;5;-;8
"130150 Envira";1;-;-;1;1;-;3
"130160 Fonte Boa";-;-;-;1;-;-;1
"130165 Guajará";-;-;-;1;-;-;1
"130170 Humaitá";3;-;-;1;-;-;4
"130180 Ipixuna";-;-;-;2;-;-;2
"130185 Iranduba";-;-;-;4;-;-;4
"130190 Itacoatiara";-;1;-;5;-;-;6
"130195 Itamarati";-;-;-;-;-;-;-
"130200 Itapiranga";1;-;-;1;-;-;2
"130210 Japurá";-;-;-;-;-;-;-
"130220 Juruá";-;-;-;-;1;-;1
"130230 Jutaí";-;-;-;1;-;-;1
"130240 Lábrea";-;-;-;-;-;-;-
"130250 Manacapuru";1;-;-;9;-;-;10
"130255 Manaquiri";-;-;-;1;-;-;1
"130260 Manaus";21;-;-;211;-;5;237
"130270 Manicoré";-;-;-;3;-;-;3
"130280 Maraã";-;-;-;1;-;-;1
"130290 Maués";-;-;-;2;-;-;2
"130300 Nhamundá";-;-;-;1;-;-;1
"130310 Nova Olinda do Norte";1;-;-;2;-;-;3
"130320 Novo Airão";-;-;-;-;-;-;-
"130330 Novo Aripuanã";-;-;-;2;-;-;2
"130340 Parintins";-;1;-;3;-;-;4
"130350 Pauini";1;-;-;-;-;-;1
"130353 Presidente Figueiredo";-;-;-;3;-;-;3
