 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Município e Cor/raça
Sexo: Fem
Período:2010
"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"130320 Novo Airão";-;-;-;3;-;-;3
"130330 Novo Aripuanã";-;-;-;1;-;-;1
"130340 Parintins";2;-;-;4;-;-;6
"130350 Pauini";-;-;-;1;-;-;1
"130353 Presidente Figueiredo";-;-;-;2;-;-;2
"130356 Rio Preto da Eva";1;-;-;1;-;-;2
"130360 Santa Isabel do Rio Negro";-;-;-;-;2;-;2
"130370 Santo Antônio do Içá";-;-;-;1;-;-;1
"130380 São Gabriel da Cachoeira";-;-;-;-;9;-;9
"130390 São Paulo de Olivença";-;-;-;-;-;-;-
"130395 São Sebastião do Uatumã";-;-;-;2;-;-;2
"130400 Silves";-;-;-;-;-;-;-
"130406 Tabatinga";-;-;-;2;5;-;7
"130410 Tapauá";1;-;-;-;-;-;1
"130420 Tefé";-;-;-;8;-;-;8
"130423 Tonantins";-;-;-;-;-;-;-
"130426 Uarini";-;-;-;1;-;-;1
"130430 Urucará";1;-;-;-;-;-;1
"130440 Urucurituba";-;-;-;-;-;-;-
"130000 Município ignorado - AM";-;-;-;-;-;-;-
"140005 Alto Alegre";-;-;-;-;-;-;-
"140002 Amajari";-;-;-;-;-;-;-
"140010 Boa Vista";8;1;-;32;4;-;45
"140015 Bonfim";1;-;-;2;-;-;3
"140017 Cantá";-;-;-;2;2;-;4
"140020 Caracaraí";1;-;-;3;-;-;4
"140023 Caroebe";-;-;-;-;-;-;-
"140028 Iracema";-;-;-;1;-;-;1
"140030 Mucajaí";-;-;-;1;-;-;1
"140040 Normandia";-;-;-;1;-;-;1
"140045 Pacaraima";-;-;-;-;1;-;1
"140047 Rorainópolis";-;-;-;2;-;-;2
"140050 São João da Baliza";-;-;-;3;-;-;3
"140060 São Luiz";-;-;-;2;-;-;2
"140070 Uiramutã";-;-;-;-;-;-;-
"140000 Município ignorado - RR";-;-;-;-;-;-;-
"150010 Abaetetuba";2;2;-;10;-;-;14
"150013 Abel Figueiredo";-;-;-;1;-;-;1
"150020 Acará";-;-;-;1;-;-;1
"150030 Afuá";-;-;-;1;-;-;1
"150034 Água Azul do Norte";1;-;-;1;-;-;2
"150040 Alenquer";1;-;-;2;-;-;3
"150050 Almeirim";-;-;-;1;-;-;1
"150060 Altamira";-;1;-;9;1;1;12
"150070 Anajás";-;-;-;2;-;-;2
"150080 Ananindeua";10;1;-;53;-;1;65
"150085 Anapu";1;-;-;-;-;-;1
"150090 Augusto Corrêa";-;-;-;-;-;-;-
"150095 Aurora do Pará";-;-;-;2;-;-;2
"150100 Aveiro";-;-;-;1;-;-;1
"150110 Bagre";-;-;-;-;-;-;-
"150120 Baião";-;-;-;1;-;-;1
"150125 Bannach";-;-;-;1;-;-;1
"150130 Barcarena";1;1;-;6;-;1;9
"150140 Belém";16;10;1;97;2;-;126
"150145 Belterra";-;-;-;2;-;-;2
"150150 Benevides";-;-;-;3;1;1;5
"150157 Bom Jesus do Tocantins";-;-;-;-;-;-;-
"150160 Bonito";-;-;-;-;-;-;-
"150170 Bragança";-;1;-;8;-;-;9
"150172 Brasil Novo";-;-;-;1;-;-;1
"150175 Brejo Grande do Araguaia";-;-;-;3;-;-;3
"150178 Breu Branco";1;-;-;3;-;-;4
"150180 Breves";1;-;-;8;-;-;9
"150190 Bujaru";-;-;-;2;-;-;2
"150200 Cachoeira do Arari";-;-;-;-;-;-;-
"150195 Cachoeira do Piriá";-;-;-;1;-;-;1
"150210 Cametá";1;1;-;5;-;-;7
"150215 Canaã dos Carajás";-;-;-;4;-;-;4
"150220 Capanema";-;-;-;-;-;1;1
"150230 Capitão Poço";1;-;-;5;-;-;6
"150240 Castanhal";1;-;2;13;-;3;19
"150250 Chaves";-;-;-;-;-;-;-
"150260 Colares";-;-;-;1;-;-;1
"150270 Conceição do Araguaia";1;-;-;3;-;-;4
"150275 Concórdia do Pará";-;-;-;1;-;-;1
"150276 Cumaru do Norte";-;1;-;-;-;-;1
"150277 Curionópolis";-;-;-;3;-;-;3
"150280 Curralinho";-;-;-;1;-;-;1
"150285 Curuá";-;-;-;-;-;-;-
"150290 Curuçá";-;-;-;-;-;-;-
"150293 Dom Eliseu";2;-;-;1;-;-;3
"150295 Eldorado do Carajás";1;1;-;2;-;-;4
"150300 Faro";-;-;-;1;-;-;1
"150304 Floresta do Araguaia";1;-;-;3;-;-;4
"150307 Garrafão do Norte";-;-;-;1;-;-;1
"150309 Goianésia do Pará";1;-;-;2;-;-;3
"150310 Gurupá";1;-;-;-;-;-;1
"150320 Igarapé-Açu";-;-;-;3;-;-;3
"150330 Igarapé-Miri";-;-;-;1;-;-;1
"150340 Inhangapi";-;-;-;-;-;-;-
"150345 Ipixuna do Pará";-;-;-;4;-;-;4
"150350 Irituia";-;-;-;1;-;-;1
"150360 Itaituba";-;1;-;10;-;-;11
"150370 Itupiranga";-;1;-;6;-;-;7
"150375 Jacareacanga";-;-;-;-;1;-;1
"150380 Jacundá";1;1;-;5;-;-;7
"150390 Juruti";-;-;-;1;-;-;1
"150400 Limoeiro do Ajuru";-;-;-;-;-;-;-
"150405 Mãe do Rio";-;1;-;1;-;-;2
"150410 Magalhães Barata";-;-;-;-;-;-;-
"150420 Marabá";4;-;-;24;-;-;28
"150430 Maracanã";-;-;-;2;-;-;2
"150440 Marapanim";-;-;-;2;-;-;2
"150442 Marituba";-;1;-;8;-;-;9
"150445 Medicilândia";-;-;-;1;-;-;1
"150450 Melgaço";-;-;-;-;-;-;-
"150460 Mocajuba";-;-;-;3;-;-;3
"150470 Moju";1;-;-;4;-;-;5
"150475 Mojuí dos Campos";-;-;-;-;-;-;-
"150480 Monte Alegre";-;-;-;7;-;-;7
"150490 Muaná";-;-;-;2;-;-;2
"150495 Nova Esperança do Piriá";-;-;-;1;-;-;1
"150497 Nova Ipixuna";-;1;-;1;-;-;2
"150500 Nova Timboteua";-;-;-;-;-;-;-
"150503 Novo Progresso";1;1;-;4;-;-;6
"150506 Novo Repartimento";2;-;-;7;-;-;9
"150510 Óbidos";-;-;-;1;-;-;1
"150520 Oeiras do Pará";-;-;-;-;-;-;-
"150530 Oriximiná";1;1;-;5;-;-;7
"150540 Ourém";-;-;-;-;-;-;-
"150543 Ourilândia do Norte";1;3;-;-;-;-;4
"150548 Pacajá";2;1;-;3;-;-;6
"150549 Palestina do Pará";-;-;-;-;-;-;-
"150550 Paragominas";1;2;-;16;-;1;20
"150553 Parauapebas";2;-;-;15;-;-;17
"150555 Pau D'Arco";-;-;-;-;-;-;-
"150560 Peixe-Boi";1;-;-;-;-;-;1
"150563 Piçarra";-;-;-;-;-;-;-
"150565 Placas";1;-;-;-;-;-;1
"150570 Ponta de Pedras";-;-;-;-;-;-;-
"150580 Portel";-;-;-;1;-;-;1
"150590 Porto de Moz";-;-;-;-;-;-;-
"150600 Prainha";-;-;-;2;-;-;2
"150610 Primavera";-;-;-;-;-;-;-
"150611 Quatipuru";-;-;-;-;-;-;-
"150613 Redenção";1;1;-;13;-;-;15
"150616 Rio Maria";1;-;-;1;-;-;2
"150618 Rondon do Pará";1;-;-;5;-;-;6
"150619 Rurópolis";-;-;-;-;-;-;-
"150620 Salinópolis";-;-;-;3;-;-;3
"150630 Salvaterra";-;-;1;-;-;-;1
"150635 Santa Bárbara do Pará";-;-;-;1;-;-;1
"150640 Santa Cruz do Arari";-;-;-;-;-;-;-
"150650 Santa Izabel do Pará";-;-;-;9;-;-;9
"150655 Santa Luzia do Pará";-;-;-;2;-;-;2
"150658 Santa Maria das Barreiras";1;-;-;1;-;-;2
"150660 Santa Maria do Pará";-;-;-;4;-;-;4
"150670 Santana do Araguaia";1;-;-;7;-;-;8
"150680 Santarém";1;-;-;9;-;-;10
"150690 Santarém Novo";-;-;-;-;-;-;-
"150700 Santo Antônio do Tauá";-;-;-;1;-;-;1
"150710 São Caetano de Odivelas";-;-;-;1;-;-;1
"150715 São Domingos do Araguaia";1;-;-;3;-;-;4
"150720 São Domingos do Capim";-;-;-;-;-;-;-
"150730 São Félix do Xingu";4;1;-;7;-;-;12
"150740 São Francisco do Pará";-;-;-;-;-;-;-
"150745 São Geraldo do Araguaia";3;1;-;1;-;-;5
"150746 São João da Ponta";-;-;-;-;-;-;-
"150747 São João de Pirabas";-;-;-;2;-;-;2
"150750 São João do Araguaia";-;-;-;-;-;-;-
"150760 São Miguel do Guamá";-;-;-;4;-;-;4
"150770 São Sebastião da Boa Vista";1;-;-;-;-;-;1
"150775 Sapucaia";1;-;-;1;-;-;2
"150780 Senador José Porfírio";-;-;-;-;-;-;-
"150790 Soure";-;-;-;-;-;-;-
"150795 Tailândia";4;1;-;5;-;-;10
"150796 Terra Alta";1;-;-;-;-;-;1
"150797 Terra Santa";-;-;-;2;-;-;2
"150800 Tomé-Açu";-;-;-;6;-;-;6
"150803 Tracuateua";-;-;-;1;-;-;1
"150805 Trairão";-;-;-;-;-;-;-
"150808 Tucumã";3;-;-;15;-;1;19
"150810 Tucuruí";3;1;-;10;-;-;14
"150812 Ulianópolis";-;1;-;-;-;-;1
"150815 Uruará";1;-;-;3;-;-;4
"150820 Vigia";-;-;-;2;-;-;2
"150830 Viseu";-;-;-;1;-;-;1
"150835 Vitória do Xingu";-;-;-;-;-;-;-
"150840 Xinguara";1;-;-;5;-;-;6
"150000 Município ignorado - PA";2;-;-;-;-;-;2
"160010 Amapá";-;-;-;2;-;-;2
"160020 Calçoene";-;-;-;1;-;-;1
"160021 Cutias";-;-;-;1;-;-;1
"160023 Ferreira Gomes";-;-;-;-;-;-;-
"160025 Itaubal";-;-;-;-;-;-;-
"160027 Laranjal do Jari";-;-;-;5;-;-;5
"160030 Macapá";6;2;-;31;-;2;41
"160040 Mazagão";-;-;-;2;-;-;2
"160050 Oiapoque";-;-;-;1;-;-;1
"160015 Pedra Branca do Amapari";-;-;-;-;-;-;-
"160053 Porto Grande";-;-;-;-;-;-;-
"160055 Pracuúba";-;-;-;-;-;-;-
"160060 Santana";1;-;-;5;-;-;6
"160005 Serra do Navio";-;-;-;-;-;-;-
"160070 Tartarugalzinho";-;-;-;-;-;-;-
"160080 Vitória do Jari";-;-;-;-;-;-;-
"160000 Município ignorado - AP";-;-;-;-;-;-;-
"170025 Abreulândia";-;-;-;-;-;-;-
"170030 Aguiarnópolis";-;-;-;1;-;-;1
"170035 Aliança do Tocantins";1;-;-;1;-;-;2
"170040 Almas";-;-;-;2;-;-;2
"170070 Alvorada";-;-;-;3;-;-;3
"170100 Ananás";1;-;-;2;-;-;3
"170105 Angico";-;-;-;-;-;-;-
"170110 Aparecida do Rio Negro";-;-;-;-;-;-;-
"170130 Aragominas";-;-;-;-;-;-;-
"170190 Araguacema";-;1;-;1;-;-;2
"170200 Araguaçu";-;-;-;2;-;-;2
"170210 Araguaína";6;1;1;22;-;-;30
"170215 Araguanã";-;-;-;1;-;-;1
"170220 Araguatins";-;-;-;8;-;-;8
"170230 Arapoema";-;-;-;-;-;-;-
"170240 Arraias";-;-;-;-;-;-;-
"170255 Augustinópolis";-;-;-;1;-;-;1
"170270 Aurora do Tocantins";-;-;-;-;-;-;-
"170290 Axixá do Tocantins";-;-;-;-;-;-;-
"170300 Babaçulândia";-;-;-;-;-;-;-
"170305 Bandeirantes do Tocantins";-;-;-;-;-;-;-
"170307 Barra do Ouro";1;-;-;-;-;-;1
"170310 Barrolândia";2;-;-;-;-;-;2
"170320 Bernardo Sayão";1;-;-;-;-;-;1
"170330 Bom Jesus do Tocantins";-;-;-;-;-;-;-
"170360 Brasilândia do Tocantins";-;-;-;-;-;-;-
"170370 Brejinho de Nazaré";-;1;-;-;-;-;1
"170380 Buriti do Tocantins";-;-;-;-;-;-;-
"170382 Cachoeirinha";-;-;-;-;-;-;-
"170384 Campos Lindos";-;-;-;-;-;-;-
"170386 Cariri do Tocantins";-;-;-;1;-;-;1
"170388 Carmolândia";-;-;-;-;-;-;-
"170389 Carrasco Bonito";-;-;-;-;-;-;-
"170390 Caseara";-;-;-;-;-;-;-
"170410 Centenário";-;-;-;-;-;-;-
"170510 Chapada da Natividade";-;-;-;-;-;-;-
"170460 Chapada de Areia";-;-;-;-;-;-;-
"170550 Colinas do Tocantins";3;2;-;2;-;1;8
"171670 Colméia";2;-;-;1;-;-;3
"170555 Combinado";-;-;-;-;-;-;-
"170560 Conceição do Tocantins";-;-;-;1;-;-;1
"170600 Couto Magalhães";-;-;-;-;-;-;-
"170610 Cristalândia";-;-;-;1;-;-;1
"170625 Crixás do Tocantins";-;-;-;-;-;-;-
"170650 Darcinópolis";-;-;-;1;-;-;1
"170700 Dianópolis";-;1;-;1;-;-;2
"170710 Divinópolis do Tocantins";1;-;-;-;-;-;1
"170720 Dois Irmãos do Tocantins";-;-;-;-;-;-;-
"170730 Dueré";1;-;-;-;-;-;1
"170740 Esperantina";-;-;-;-;-;-;-
"170755 Fátima";-;-;-;-;-;-;-
"170765 Figueirópolis";1;-;-;-;-;-;1
"170770 Filadélfia";-;-;-;1;-;-;1
"170820 Formoso do Araguaia";-;-;-;1;-;-;1
"170825 Fortaleza do Tabocão";-;-;-;-;-;-;-
"170830 Goianorte";-;-;-;1;-;-;1
"170900 Goiatins";-;-;-;1;1;-;2
"170930 Guaraí";-;-;-;4;-;-;4
"170950 Gurupi";4;-;-;10;-;-;14
"170980 Ipueiras";-;-;-;-;-;-;-
"171050 Itacajá";-;-;-;-;-;-;-
"171070 Itaguatins";-;-;-;3;-;-;3
"171090 Itapiratins";-;-;-;-;-;-;-
"171110 Itaporã do Tocantins";-;-;-;1;-;-;1
"171150 Jaú do Tocantins";-;-;-;1;-;-;1
"171180 Juarina";-;-;-;-;-;-;-
"171190 Lagoa da Confusão";-;-;-;-;-;-;-
"171195 Lagoa do Tocantins";-;-;-;-;-;-;-
"171200 Lajeado";-;-;-;1;-;-;1
"171215 Lavandeira";-;-;-;-;-;-;-
"171240 Lizarda";-;-;-;-;-;-;-
"171245 Luzinópolis";-;-;-;1;-;-;1
"171250 Marianópolis do Tocantins";-;-;-;-;-;-;-
"171270 Mateiros";-;1;-;-;-;-;1
"171280 Maurilândia do Tocantins";-;-;-;1;-;-;1
"171320 Miracema do Tocantins";1;-;-;1;-;-;2
"171330 Miranorte";2;-;-;1;-;-;3
"171360 Monte do Carmo";-;-;-;1;-;-;1
"171370 Monte Santo do Tocantins";-;-;-;-;-;-;-
"171395 Muricilândia";-;-;-;-;-;-;-
"171420 Natividade";-;-;-;-;-;-;-
"171430 Nazaré";-;-;-;-;-;-;-
"171488 Nova Olinda";-;-;-;2;-;-;2
"171500 Nova Rosalândia";-;1;-;-;-;-;1
"171510 Novo Acordo";-;-;-;-;-;-;-
"171515 Novo Alegre";-;-;-;-;-;-;-
"171525 Novo Jardim";-;-;-;-;-;-;-
"171550 Oliveira de Fátima";-;-;-;-;-;-;-
"172100 Palmas";11;1;-;14;-;2;28
"171570 Palmeirante";-;-;-;-;-;-;-
"171380 Palmeiras do Tocantins";-;-;-;1;-;-;1
"171575 Palmeirópolis";-;-;-;-;-;-;-
"171610 Paraíso do Tocantins";2;-;-;4;-;-;6
"171620 Paranã";-;-;-;-;-;-;-
"171630 Pau D'Arco";-;-;-;1;-;-;1
"171650 Pedro Afonso";-;-;-;-;-;-;-
"171660 Peixe";-;-;-;2;-;-;2
"171665 Pequizeiro";-;-;-;-;-;-;-
"171700 Pindorama do Tocantins";-;-;-;1;-;-;1
"171720 Piraquê";-;-;-;-;-;-;-
"171750 Pium";1;-;-;-;-;-;1
"171780 Ponte Alta do Bom Jesus";-;-;-;1;-;-;1
"171790 Ponte Alta do Tocantins";-;-;-;2;-;-;2
"171800 Porto Alegre do Tocantins";-;-;-;-;-;-;-
"171820 Porto Nacional";3;1;-;6;-;1;11
"171830 Praia Norte";-;-;-;1;-;-;1
"171840 Presidente Kennedy";-;-;-;-;-;-;-
"171845 Pugmil";-;1;-;1;-;-;2
"171850 Recursolândia";-;-;-;-;-;-;-
"171855 Riachinho";-;-;-;-;-;-;-
"171865 Rio da Conceição";-;-;-;-;-;-;-
"171870 Rio dos Bois";-;-;-;1;-;-;1
"171875 Rio Sono";-;-;-;2;-;-;2
"171880 Sampaio";-;-;-;1;-;-;1
"171884 Sandolândia";-;-;-;-;-;-;-
"171886 Santa Fé do Araguaia";-;-;-;-;-;-;-
"171888 Santa Maria do Tocantins";-;-;-;-;-;-;-
"171889 Santa Rita do Tocantins";-;-;-;-;-;-;-
"171890 Santa Rosa do Tocantins";-;-;-;1;-;-;1
"171900 Santa Tereza do Tocantins";-;-;-;1;-;-;1
"172000 Santa Terezinha do Tocantins";-;-;-;1;-;-;1
"172010 São Bento do Tocantins";-;-;-;2;-;-;2
"172015 São Félix do Tocantins";-;-;-;-;-;-;-
"172020 São Miguel do Tocantins";-;-;-;-;-;-;-
"172025 São Salvador do Tocantins";-;-;-;1;-;-;1
"172030 São Sebastião do Tocantins";-;-;-;-;-;-;-
"172049 São Valério";-;-;-;-;-;-;-
"172065 Silvanópolis";-;-;-;1;-;-;1
"172080 Sítio Novo do Tocantins";-;-;-;1;-;-;1
"172085 Sucupira";-;-;-;-;-;-;-
"172090 Taguatinga";-;1;-;-;-;-;1
"172093 Taipas do Tocantins";-;-;-;-;-;-;-
"172097 Talismã";-;-;-;1;-;-;1
"172110 Tocantínia";-;1;-;-;-;2;3
"172120 Tocantinópolis";1;-;-;3;-;-;4
"172125 Tupirama";-;-;-;-;-;-;-
"172130 Tupiratins";-;-;-;-;-;-;-
"172208 Wanderlândia";-;-;-;1;-;-;1
"172210 Xambioá";1;-;-;-;-;-;1
"170000 Município ignorado - TO";-;-;-;1;-;-;1
"210005 Açailândia";1;-;-;17;-;-;18
"210010 Afonso Cunha";-;-;-;-;-;-;-
"210015 Água Doce do Maranhão";-;-;-;2;-;-;2
"210020 Alcântara";-;-;-;1;-;-;1
"210030 Aldeias Altas";-;-;-;1;-;-;1
"210040 Altamira do Maranhão";-;-;-;1;-;-;1
"210043 Alto Alegre do Maranhão";-;-;-;1;-;-;1
"210047 Alto Alegre do Pindaré";-;-;-;2;-;1;3
"210050 Alto Parnaíba";-;-;-;1;-;-;1
"210055 Amapá do Maranhão";-;2;-;-;-;-;2
"210060 Amarante do Maranhão";-;-;-;1;-;-;1
"210070 Anajatuba";-;-;-;1;-;-;1
"210080 Anapurus";-;-;-;2;-;-;2
"210083 Apicum-Açu";-;1;-;-;-;-;1
"210087 Araguanã";2;-;-;2;-;-;4
"210090 Araioses";-;-;-;-;-;1;1
"210095 Arame";-;-;-;3;-;-;3
"210100 Arari";1;-;-;1;-;-;2
"210110 Axixá";-;-;-;2;-;-;2
"210120 Bacabal";2;-;-;4;-;-;6
"210125 Bacabeira";-;-;-;2;-;-;2
"210130 Bacuri";-;-;-;-;-;1;1
"210135 Bacurituba";-;-;-;1;-;-;1
"210140 Balsas";1;-;-;6;-;-;7
"210150 Barão de Grajaú";-;-;-;2;-;-;2
"210160 Barra do Corda";-;-;-;9;-;-;9
"210170 Barreirinhas";-;-;-;3;-;-;3
"210177 Bela Vista do Maranhão";1;1;-;2;-;-;4
"210173 Belágua";-;-;-;-;-;-;-
"210180 Benedito Leite";-;-;-;-;-;-;-
"210190 Bequimão";-;-;-;1;-;-;1
"210193 Bernardo do Mearim";-;-;-;-;-;-;-
"210197 Boa Vista do Gurupi";-;-;-;-;-;-;-
"210200 Bom Jardim";-;-;-;3;-;-;3
"210203 Bom Jesus das Selvas";-;-;-;1;-;-;1
"210207 Bom Lugar";-;-;-;1;-;-;1
"210210 Brejo";-;-;-;-;-;-;-
"210215 Brejo de Areia";-;-;-;-;-;-;-
"210220 Buriti";-;-;-;1;-;-;1
"210230 Buriti Bravo";-;-;-;2;-;-;2
"210232 Buriticupu";3;1;-;7;-;-;11
"210235 Buritirana";-;-;-;-;-;-;-
"210237 Cachoeira Grande";-;-;-;-;-;-;-
"210240 Cajapió";-;-;-;-;-;-;-
"210250 Cajari";-;1;-;-;-;-;1
"210255 Campestre do Maranhão";-;-;-;3;-;-;3
"210260 Cândido Mendes";1;-;-;2;-;-;3
"210270 Cantanhede";-;-;-;-;-;-;-
"210275 Capinzal do Norte";-;-;-;3;-;-;3
"210280 Carolina";-;-;-;2;-;-;2
"210290 Carutapera";-;-;-;-;-;-;-
"210300 Caxias";2;-;-;13;-;1;16
"210310 Cedral";-;-;-;1;-;-;1
"210312 Central do Maranhão";-;-;-;1;-;-;1
"210315 Centro do Guilherme";-;-;-;1;-;-;1
"210317 Centro Novo do Maranhão";-;-;-;-;-;-;-
"210320 Chapadinha";3;-;-;4;-;-;7
"210325 Cidelândia";-;-;-;1;-;-;1
"210330 Codó";1;1;-;4;-;-;6
"210340 Coelho Neto";-;-;-;3;-;-;3
"210350 Colinas";1;-;-;1;-;-;2
"210355 Conceição do Lago-Açu";1;-;-;-;-;-;1
"210360 Coroatá";-;1;-;4;-;-;5
"210370 Cururupu";-;1;-;1;-;-;2
"210375 Davinópolis";-;-;-;3;-;-;3
"210380 Dom Pedro";1;-;-;1;-;-;2
"210390 Duque Bacelar";-;-;-;-;-;-;-
"210400 Esperantinópolis";-;-;-;6;-;-;6
"210405 Estreito";1;-;-;5;-;-;6
"210407 Feira Nova do Maranhão";-;-;-;-;-;-;-
"210408 Fernando Falcão";-;-;-;-;1;-;1
