 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Município e Cor/raça
Sexo: Fem
Período:2012
"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"110001 Alta Floresta D'Oeste";1;1;-;-;-;-;2
"110037 Alto Alegre dos Parecis";3;-;-;2;-;1;6
"110040 Alto Paraíso";1;-;-;-;-;-;1
"110034 Alvorada D'Oeste";-;-;-;-;-;-;-
"110002 Ariquemes";3;-;-;10;-;-;13
"110045 Buritis";1;-;-;2;-;1;4
"110003 Cabixi";-;-;-;-;-;-;-
"110060 Cacaulândia";-;-;-;1;-;-;1
"110004 Cacoal";5;2;-;6;-;-;13
"110070 Campo Novo de Rondônia";-;-;-;1;-;-;1
"110080 Candeias do Jamari";1;-;-;1;-;-;2
"110090 Castanheiras";-;-;-;-;-;-;-
"110005 Cerejeiras";3;1;-;1;-;1;6
"110092 Chupinguaia";-;-;-;1;-;-;1
"110006 Colorado do Oeste";1;1;-;3;-;-;5
"110007 Corumbiara";-;-;-;-;-;-;-
"110008 Costa Marques";1;-;-;-;-;-;1
"110094 Cujubim";-;-;-;-;-;-;-
"110009 Espigão D'Oeste";-;-;1;-;-;-;1
"110100 Governador Jorge Teixeira";2;-;-;-;-;-;2
"110010 Guajará-Mirim";-;-;-;5;-;-;5
"110110 Itapuã do Oeste";-;-;-;-;-;-;-
"110011 Jaru";2;2;-;2;-;-;6
"110012 Ji-Paraná";4;1;-;6;-;-;11
"110013 Machadinho D'Oeste";6;-;-;4;-;1;11
"110120 Ministro Andreazza";1;-;-;-;-;-;1
"110130 Mirante da Serra";-;-;-;-;-;-;-
"110140 Monte Negro";1;-;-;2;-;-;3
"110014 Nova Brasilândia D'Oeste";2;-;-;1;-;-;3
"110033 Nova Mamoré";-;-;-;4;-;-;4
"110143 Nova União";2;-;-;-;-;-;2
"110050 Novo Horizonte do Oeste";-;-;-;1;-;-;1
"110015 Ouro Preto do Oeste";1;-;-;3;-;-;4
"110145 Parecis";-;-;-;-;-;-;-
"110018 Pimenta Bueno";2;-;-;1;-;2;5
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-
"110020 Porto Velho";16;8;-;55;-;3;82
"110025 Presidente Médici";-;1;-;2;-;-;3
"110147 Primavera de Rondônia";-;-;-;-;-;-;-
"110026 Rio Crespo";1;-;-;1;-;-;2
"110028 Rolim de Moura";9;3;-;5;-;-;17
"110029 Santa Luzia D'Oeste";1;-;-;-;-;-;1
"110148 São Felipe D'Oeste";2;-;-;-;-;-;2
"110149 São Francisco do Guaporé";-;-;-;2;-;1;3
"110032 São Miguel do Guaporé";1;-;-;1;-;-;2
"110150 Seringueiras";-;-;-;2;-;-;2
"110155 Teixeirópolis";1;-;-;-;-;-;1
"110160 Theobroma";1;-;-;1;-;-;2
"110170 Urupá";1;-;-;1;-;-;2
"110175 Vale do Anari";1;-;-;-;-;-;1
"110180 Vale do Paraíso";-;-;-;-;-;-;-
"110030 Vilhena";6;-;-;3;-;1;10
"110000 Município ignorado - RO";-;-;-;-;-;-;-
"120001 Acrelândia";-;-;-;1;-;-;1
"120005 Assis Brasil";-;-;-;1;-;-;1
"120010 Brasiléia";1;-;-;2;-;-;3
"120013 Bujari";-;-;-;-;-;-;-
"120017 Capixaba";-;-;-;-;-;-;-
"120020 Cruzeiro do Sul";1;1;-;2;-;-;4
"120025 Epitaciolândia";-;1;-;-;-;-;1
"120030 Feijó";-;-;-;2;1;-;3
"120032 Jordão";1;-;-;-;3;-;4
"120033 Mâncio Lima";-;-;-;-;-;-;-
"120034 Manoel Urbano";-;-;-;1;-;-;1
"120035 Marechal Thaumaturgo";-;-;-;-;-;-;-
"120038 Plácido de Castro";-;-;-;4;-;-;4
"120080 Porto Acre";-;-;-;2;-;1;3
